	mean_abundance	occurrence	predicted_occurrence	lower_conf_int	upper_conf_int	full_taxonomy
G000205165	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Paraprevotella; s__Paraprevotella xylaniphila
G000225825	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium; s__Brachybacterium squillarum
G000711715	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__Sphingomonas astaxanthinifaciens
G000612685	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Castellaniella; s__Castellaniella defragrans
G000619845	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Alkanindiges; s__Alkanindiges illinoisensis
G000621725	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella brevis
G000632455	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter sp. Ver3
G000682715	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Hyphomonas; s__Hyphomonas atlantica
G000686565	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter bilis
G000688255	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Simplicispira; s__Simplicispira psychrophila
G000711725	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas; s__Roseomonas aerilata
G000688835	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__[Haemophilus] parasuis
G000698575	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__Caballeronia zhejiangensis
G000698595	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Caballeronia; s__Caballeronia glathei
G000235665	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Cyanobacteria; c__; o__Chroococcales; f__Aphanothecaceae; g__Crocosphaera; s__Crocosphaera watsonii
G000233915	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas; s__Pseudoxanthomonas spadix
G000701405	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus marmoris
G000230735	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Natrialbales; f__Natrialbaceae; g__Natrinema; s__Natrinema pellirubrum
G000702585	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__Exiguobacterium; s__Exiguobacterium aurantiacum
G000237065	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas fluorescens
G000744515	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__Sphingomonas wittichii
G000745265	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__Massilia sp. 9096
G000745835	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Belnapia; s__Belnapia moabensis
G000771785	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Gallibacterium; s__Gallibacterium anatis
G000771805	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Gallibacterium; s__Gallibacterium anatis
G000772535	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Chelonobacter; s__Chelonobacter oris
G000785435	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__Paraburkholderia sacchari
G000785495	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Pimelobacter; s__Pimelobacter simplex
G000800155	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Luteibacter; s__Luteibacter sp. 9133
G000800475	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium pseudolongum
G000770675	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Pontibacillus; s__Pontibacillus chungwhensis
G000802385	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Porphyrobacter; s__Porphyrobacter mercurialis
G000820125	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__Aeromonas simiae
G000178875	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__Shewanella baltica
G000833575	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium singulare
G000177635	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Chrysiogenetes; c__Chrysiogenetes; o__Chrysiogenales; f__Chrysiogenaceae; g__Desulfurispirillum; s__Desulfurispirillum indicum
G000935205	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Rhodopseudomonas; s__Rhodopseudomonas palustris
G000948185	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Aeribacillus; s__Aeribacillus pallidus
G000950575	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__Arthrobacter sp. IHBB 11108
G000805675	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium minutissimum
G000769115	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas canoris
G000372965	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__Hoeflea; s__Hoeflea sp. 108
G000769075	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas sp. COT-290 OH3588
G000755145	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema putidum
G000756225	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Candidatus Liberibacter; s__Candidatus Liberibacter solanacearum
G000196275	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus geothermalis
G000196135	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Wolinella; s__Wolinella succinogenes
G000756795	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Erythrobacter; s__Erythrobacter vulgaris
G000757825	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cedecea; s__Cedecea neteri
G000759535	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas cremoricolorata
G000759795	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia vulneris
G000761155	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas rhizosphaerae
G000761485	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Geodermatophilales; f__Geodermatophilaceae; g__Modestobacter; s__Modestobacter caceresii
G000762845	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter sp. MIT 01-6451
G000190575	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides salanitronis
G000190535	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__Odoribacter; s__Odoribacter splanchnicus
G000188155	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylocystis; s__Methylocystis sp. ATCC 49242
G000768345	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__Lysobacter concretionis
G000768875	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas sp. COT-239 OH1446
G000187895	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides plebeius
G000585375	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Cryptosporangiaceae; g__Cryptosporangium; s__Cryptosporangium arvum
G000585355	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella oryzae
G000576635	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Skermanella; s__Skermanella stibiiresistens
G000568815	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Sulfurospirillum; s__Sulfurospirillum multivorans
G000337355	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Haloferacales; f__Halorubraceae; g__Halorubrum; s__Halorubrum kocurii
G000403925	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus; s__Desulfobulbus sp. oral taxon 041
G000336875	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Haloferacales; f__Halorubraceae; g__Halorubrum; s__Halorubrum californiense
G000406925	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus columbae
G000410635	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__Comamonas sp. B-9
G000414195	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__Exiguobacterium; s__Exiguobacterium sp. OS-77
G000332995	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Gordoniaceae; g__Gordonia; s__Gordonia amicalis
G000403295	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__Lachnospiraceae bacterium M18-1
G000331285	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Porphyrobacter; s__Porphyrobacter sp. AAP82
G000414525	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__Gardnerella vaginalis
G000415145	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus faecalis
G000419445	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Gryllotalpicola; s__Gryllotalpicola ginsengisoli
G000420525	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Chromobacteriaceae; g__Aquaspirillum; s__Aquaspirillum serpens
G000422405	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium; s__Microbacterium luticocti
G000422485	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus pasadenensis
G000425005	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Solobacterium; s__Solobacterium moorei
G000414465	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__Gardnerella vaginalis
G000397205	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas protegens
G000389985	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__Nocardioides sp. CF8
G000384335	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__Hyphomicrobium sp. 99
G000372825	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__Methylobacterium sp. 77
G000372405	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas somerae
G000369005	1.4084507042253522e-07	0.007042253521126761	0.0014207093813688454	6.767655190413266e-05	0.02903886365503286	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter beijerinckii
