	14857.14521.d26b80c33e7bd28624a0d1ecf4eef0cc	14857.14521.5ec441045ceb71e3c6ae032c22f986df	14857.14521.4694a3dd2c9a2daa40ccf3b8d9abbc21	14857.14521.d7f0d01e30c08ad5a53b08ad3f9891c6	14857.14521.492caa55c486aaf5c37fea1221c1c95f	14857.14521.47c410af32ae57b1681ecf42dabb69fe	14857.14521.4ec65eb85b93fe1e7aaaec76908c4e2b	14857.14521.ee84c967997be3a2d88581deec6b928b	14857.14521.e4adf0d42db04c1e92b4f351b5ef414c	14857.14521.4ed4ba11e770408b47b2a18e37ab43fc	14857.14521.931205bde828ae2731cf37cb8444abb3	14857.14521.a290e711c72ff5177a4a4cd3df5f85cc	14857.14521.4f669416867d09bcccb0f6ad44e579b3	14857.14521.10e5754ff94f5da74a0d04bd57c744b0	14857.14521.52e9c65df5950efde5a03d89ecfbbe0a	14857.14521.fdec7ac66f21e0127348adc913910e14	14857.14521.507fe214d41a761fe62c5efa61991cd4	14857.14521.2fc9508f5c225ae651c5a7fe930f056a	14857.14521.e7c4d1e0da07ceddc34215fd998cb9b0	14857.14521.04a446c6a660694dafe43ccaf1db7162	14857.14521.a6cd09c2289b82b7cb512b5f58035c2a	14857.14521.513bbeece195b52f92097da6e8b83439	14857.14521.2e854733660d3a0d141f77c5204a3cb6	14857.14521.5144479cf56f153995bc1b4f4005d181	14857.14521.97e6ae058406132d95f298fd9766478c	14857.14521.2fc8147dda3413c420334a3e396fdd21	14857.14521.1bace76d975be5d2b1d6dc18856d29e1	14857.14521.212c34bd65434db34e6dbed057956545	14857.14521.fe3227b1a765e834361ea5722bbd3cfb	14857.14521.2f5dfdb35d764ef1cbc04dd24efc12c3	14857.14521.e9b948776f05bb1e5affc2d713511abe	14857.14521.fee8422013f0fcaed92612dd9be52c6a	14857.14521.a2f4cfbc8de2e9b57190be2e3939904f	14857.14521.06aa83c6bd0135a70071a8fb9fadcea3	14857.14521.90d99626b73bd35673e41235374bd024	14857.14521.18b320f63f6c5dd2dd4e0c30c87a1ce9	14857.14521.17d0164ba75254a66877eb430bef5ab3	14857.14521.14494d84b0b1d79b4ee27b5612a4bc1b	14857.14521.0337efea9b59b88f804ea384c356377c	14857.14521.abd09865a9fa40065ad10f6b5fe7215c	14857.14521.b227a5220ac1ce103c6b66fa8ac1a5ec	14857.14521.34f750e775facce4468828b9f3a94a54	14857.14521.5d003d442dbaf291b70d2d8a85db9670	14857.14521.a80a272635b66d9df4861d1a3624cddd	14857.14521.b10676570e484ad737329345146b6906	14857.14521.3272dbc31566b8d6a5c8a336310227ef	14857.14521.5b3bc69f8060efc4c44e13bcd1643365	14857.14521.22678cebb6115f6e83feb242d90e39e0	14857.14521.5bf4af94766a4eccee938ecfe433f40d	14857.14521.61c5eeae092659949b20354fdaae07d8	14857.14521.af71d29022bc62b7a5afd6bb8352645e	14857.14521.c614e7eeadb59ac88c51de2f91221148	14857.14521.04ceb5f141916f7fc091a5e0aa51ada3	14857.14521.c6ba18d6624f747c5da256debf458d52	14857.14521.bec1dad26b22ffa9196172241d60f7c7	14857.14521.39568c38b7848877cc7cd29f699320af	14857.14521.5818499818533772c63f1c0e94767950	14857.14521.74475d452e5ca9eaee00671529f1d22a	14857.14521.3756a5bb0047504a87838271674b6424	14857.14521.a89399ef0212863cb5d724f971977ca6	14857.14521.29a3f24332c88d064a5d658aad809003	14857.14521.0a250b03103541ef9137514aa0ac5af0	14857.14521.006cdcd42d55e07a2fd1ad2d31dd1a87	14857.14521.3c54785645c4b1e1c9d334e9da4dff78	14857.14521.ab3c9eaa6ef608830aa124808176460f	14857.14521.ab4cd5b95392cd1c35b78659af1afaf4	14857.14521.2c0180436ed4e6909018a722255feb2d	14857.14521.38ee0240debcdd0e2f5c8ec65f146af3	14857.14521.08b5e10caa8aae97aa54fc4ad360fd44	14857.14521.260b4b3ac77878293b707483482c37ac	14857.14521.0cf20dcaf06c163d39c219395680c817	14857.14521.c76c166f133cfefbacb11e838f7eadd1	14857.14521.bedc55cd2fe1d2872cccc95f4bf9d17e	14857.14521.7c2156017cc2c847013c4b87cfca8a8b	14857.14521.7875b5196f6b8b52847f99bf370aada0	14857.14521.6681a3b45b0975d2599d48a85149ba3d	14857.14521.7cf3133c7550991cae566e60c099f0e5	14857.14521.0d5b4eff9dc73d8869d2db08d2e3bb44	14857.14521.700af95816b32d4fc5e2091b5f01115d	14857.14521.0d2e46185b6dc8be30492a81abc66147	14857.14521.cbbba74222441fa3ca729518f0aa851d	14857.14521.705459b427a9558670282f66354b0525	14857.14521.837f6c3f8d4c60a3193e39ffe069ea9f	14857.14521.706e8a8516284214f76ba9a63b61697d	14857.14521.8e9327acb8e1cc667de3b7d0c3a35750	14857.14521.7ec671051c13c07911105396540c7223	14857.14521.d0ac3315f713a78b19b8f7d7eed839b3	14857.14521.904342a8883a6c61874edc95a9a97cf5	14857.14521.d42c5f83c74276a84f9ba4f2e991e563	14857.14521.d073e37c97d855da5783148477977ec5	14857.14521.81d1bbace3d0a134ed2f820c75503147	14857.14521.d68c213a0337da50a946bce580f49ee6	14857.14521.d8faa1b0d77cab4bbb62e4d8f4bf7874	14857.14521.8e55753867a02048046f6b250021fe8b	14857.14521.df4b26ce8210b8ad42f9ed2accc880a0	14857.14521.e2d8c91de4566db465c92c8c960b4153	14857.14521.d6250862d02f9a7edf281102cdccf83c
G000007265	0	0	0	0	4.0	0	1.0	0	0	5.0	2.0	0	1.0	1.0	0	0	2.0	0	0	0	0	3.0	1.0	0	660.0	0	0	1.0	0	0	1.0	200.0	0	3.0	0	0	0	0	1.0	1.0	0	0	9.0	0	2.0	0	0	1.0	0	1.0	0	2.0	18.0	0	0	0	0	1.0	1.0	0	0	0	0	0	25.0	0	0	6.0	0	0	134.0	0	0	37.0	0	3.0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	7.0	0
G000007325	0	0	1.0	0	17.0	0	17.0	0	0	11.0	0	1.0	2.0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	35.0	0	0	0	1.0	0	5.0	1.0	0	0	34.0	0	4.0	0	0	2681.0	1.0	23.0	0	9.0	3.0	0	3.0	0	3.0	557.0	1.0	0	0	0	2.0	1.0	0	0	0	0	0	664.0	0	1.0	2.0	0	0	5.0	0	0	4.0	0	11.0	33.0	1.0	0	0	0	0	0	0	0	3.0	0	51.0	11.0	0	0	2.0	0	0	0	89.0	0
G000007385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007465	0	0	0	0	2.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	2.0	0	0	2.0	0	0	0	35.0	0	1.0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	19.0	0	0	2.0	0	0	73.0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000007525	0	0	2.0	0	43.0	298.0	42.0	0	0	0	0	0	80.0	0	0	1.0	11.0	0	0	144.0	0	0	0	53.0	0	0	0	0	0	0	12.0	10604.0	0	0	0	0	1.0	0	0	24.0	0	0	3.0	0	3215.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	7.0	0	79.0	0	9.0	20.0	79.0	0	0	0	0	0	42.0	0	2.0	2063.0	2.0	0	28.0	0	0	0	0	0	0	0	1.0	1.0	0	6.0	0	0	4.0	0	3.0	0	0	0	0
G000007565	0	0	0	0	0	0	0	1.0	0	327.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	2.0	9.0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	2.0	4.0	2.0	0	1.0	1.0	4.0	0	0	0	2.0	0	0	0	0	0	0	0	3.0	1.0	0	0	0	3.0	0	2.0	0	0	0	0	4.0	4.0	0	0	0
G000007625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007645	0	0	1.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007745	0	2.0	0	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	1.0	8.0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	21.0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	27.0	0
G000007785	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	3.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007805	0	0	0	0	0	0	0	0	0	523.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
G000007825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007865	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007945	0	1.0	1.0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	1.0	0	1.0	1.0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	3.0	13.0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	9.0	1.0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	3.0	0	0	1.0	0	1.0	0	0	0	0	33.0	1.0
G000008165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008185	0	0	2.0	0	32.0	1.0	222.0	1.0	0	0	2.0	5.0	4.0	0	0	0	2.0	0	0	0	0	0	4.0	0	0	0	0	33.0	0	0	2.0	0	0	2.0	0	0	0	42.0	0	0	0	0	5014.0	0	3.0	0	11.0	4.0	0	6.0	0	0	2.0	0	0	0	0	1.0	0	0	1.0	0	0	0	6520.0	0	0	0	0	0	0	4.0	0	3.0	0	0	25.0	9.0	0	0	0	0	1.0	0	2.0	0	0	0	0	0	0	5.0	0	0	0	285.0	0
G000008325	1.0	1.0	0	1.0	1.0	0	1.0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	1.0	0	1.0	1.0	1.0	1.0	0	1.0	0	0	2.0	1.0	1.0	0	1.0	0	2.0	0	1.0	1.0	0	1.0	1.0	0	1.0	1.0	1.0	1.0	2.0	1.0	0	0	1.0	0	2.0	0	0	1.0	1.0	0	1.0	1.0	0	1.0	1.0	0	0	0	1.0	1.0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	1.0	1.0	1.0	1.0	2.0	0	1.0	0	0	0	0	2.0	1.0	1.0	2.0	0	1.0	3.0
G000008345	2.0	3.0	77.0	4.0	1.0	3.0	10.0	11.0	43.0	25.0	26.0	9.0	4.0	3.0	32.0	3.0	4.0	1.0	5.0	15.0	4.0	3.0	7.0	2.0	2.0	66.0	5.0	32.0	2.0	15.0	14.0	371.0	8.0	2.0	6.0	1.0	12.0	9.0	1.0	4.0	4.0	11.0	2.0	3.0	3.0	2.0	3.0	5.0	3.0	76.0	7.0	5.0	3.0	25.0	5.0	76.0	3.0	6.0	4.0	2.0	3.0	4.0	4.0	49.0	5.0	8.0	16.0	4.0	9.0	10.0	3.0	3.0	4.0	3.0	2.0	5.0	2.0	4.0	6.0	2.0	4.0	10.0	77.0	1.0	177.0	5.0	27.0	2.0	35.0	4.0	12.0	13.0	78.0	4.0	5.0	5.0	14.0
G000008465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000008505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0
G000008525	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	22.0	0	0	0	0	0	27.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0
G000008565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0
